id,species,scientific_name,observer,date,lat,lon,place_guess,image_url,cluster
288771824,common blue lettuce,Lactuca pulchella,tablepicnic,2025-06-11,45.6933633333,-108.691305,"Billings, MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519340974/medium.jpg,4
288710216,Zale Moths,Zale,guessagain,2025-06-11,45.8797379855,-108.3003687859,"Huntley, MT 59037, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/519232716/medium.jpg,2
288593125,Unknown,Unknown,mfroslie,2025-06-10,45.781091,-108.5725415,"Lewis Ave, Billings, MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519006477/medium.jpg,3
288604235,Plum,Prunus domestica,whitewolf085,2025-06-10,45.8416633606,-108.5265884399,Billings,https://inaturalist-open-data.s3.amazonaws.com/photos/519028801/medium.jpg,0
288642181,Greater Short-horned Lizard,Phrynosoma hernandesi,eric_puetz,2025-06-10,45.9425208022,-108.4773717532,"Shepherd Acton Rd, Billings, MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519102842/medium.jpg,0
288595342,Common Orache,Atriplex patula,taitsougstad,2025-06-10,45.7879401372,-108.5252240673,"Billings, MT 59102, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/519011333/medium.jpg,3
288595190,Wallflowers,Erysimum,taitsougstad,2025-06-10,45.7885000696,-108.5256750137,"Billings, MT 59102, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/519010924/medium.jpg,3
288595100,watercress,Nasturtium officinale,taitsougstad,2025-06-10,45.7880733389,-108.5252723268,"North Elevation, Billings, MT, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/519010833/medium.jpg,3
288593123,Irises,Iris,taitsougstad,2025-06-10,45.7880804131,-108.525268659,"North Elevation, Billings, MT, USA",https://inaturalist-open-data.s3.amazonaws.com/photos/519006494/medium.jpg,3
288771834,Northern Leopard Frog,Lithobates pipiens,tablepicnic,2025-06-10,45.69492,-108.69397,"Billings, MT, US",https://inaturalist-open-data.s3.amazonaws.com/photos/519341013/medium.jpg,1
